,fit_field,fitted IRM comoponent 1,fitted IRM comoponent 2,fitted IRM comoponent 3,measured_field_log,measured_gradient_norm
0,0.3240314799623181,0.031242685679955935,7.62458407020786e-06,0.0007974536365905636,,
1,0.3541449643790762,0.03790464137500044,1.2848465969368644e-05,0.0009536352848066383,0.3240314799623181,0.08807692922182224
2,0.3842584487958343,0.045520742370751884,2.1426538503091315e-05,0.0011381931255385828,0.5192755243430952,0.09775858657487005
3,0.4143719332125924,0.05410691564283921,3.53599066021776e-05,0.0013558748904232284,0.6629980433805381,0.1264289041309699
4,0.4444854176293505,0.0636491409193516,5.7745075919761096e-05,0.0016121526204845764,0.7787513924170658,0.18502048094896903
5,0.47459890204610866,0.07409952722514176,9.331328989428926e-05,0.001913320712075121,0.8774643578702733,0.24646809629794397
6,0.5047123864628668,0.08537391971327438,0.00014920046900601317,0.0022666042010608535,0.9639271568750323,0.2890729313504153
7,0.5348258708796249,0.09735134193507411,0.00023602715944635904,0.002680277238408431,1.0423975057873602,0.365647494171563
8,0.564939355296383,0.10987541796461084,0.0003693851448990588,0.003163791180199487,1.1137218056218583,0.45849980889363534
9,0.595052839713141,0.12275774108570035,0.000571842972771298,0.003727910975928918,1.1796681044672899,0.5397873619087531
10,0.6251663241298991,0.1357829895714982,0.0008755928661173614,0.004384857551198354,1.2417710404330842,0.6391457115363108
11,0.6552798085466572,0.14871546086777745,0.001325860899589077,0.005148452610308245,1.3005209214299431,0.7188530422781352
12,0.6853932929634153,0.1613066194988415,0.0019851836430773663,0.006034260708169998,1.3562848261023603,0.790997231108429
13,0.7155067773801734,0.1733032346896689,0.0029386088159608316,0.007059721556499488,1.409716598067764,0.8701171094885843
14,0.7456202617969315,0.18445571158306442,0.0042997950272881695,0.008244263362516293,1.4612820759478702,0.9505446224143795
15,0.7757337462136896,0.19452627625975855,0.006217857101082749,0.009609385614343394,1.5121930027563748,0.9983771321263933
16,0.8058472306304477,0.20329673757761973,0.008884622310576722,0.011178697239204973,1.560146796443769,1.0
17,0.8359607150472059,0.21057559966055941,0.012541728538935417,0.012977893637184297,1.6076108051192162,0.9971923955643656
18,0.866074199463964,0.21620432787452593,0.017486717138439946,0.01503465396270537,1.653294249955785,0.9724382837050792
19,0.8961876838807221,0.22006257927886025,0.024076973799232487,0.017378438472917705,1.698407663363309,0.9346053684297199
20,0.9263011682974802,0.22207220612790696,0.03273008922834354,0.020040165118619026,1.7424544964571218,0.8622467226180213
21,0.9564146527142383,0.22219984339354973,0.043919004224545116,0.023051745178846502,1.7859423276894033,0.7729853026301393
22,0.9865281371309964,0.22045791340598156,0.05816024149198781,0.026445459993088193,1.8286548061102246,0.6898472746757645
23,1.0166416215477545,0.21690393205581981,0.07599368663488396,0.030253165043578712,1.8707112559194847,0.6106124866809315
24,1.0467551059645126,0.2116380826634768,0.09795283430481018,0.03450531401667381,1.912185376502146,0.5181686234073957
25,1.0768685903812707,0.20479912805316705,0.12452520958047705,0.03922980412307405,1.9532342109613154,0.41920502210320226
26,1.1069820747980288,0.1965588445889421,0.15610381245012753,0.04445065479312899,1.9937254580651174,0.3299134921093348
27,1.1370955592147869,0.18711526726993696,0.19293185516498912,0.05018654457149418,2.0342766278548905,0.258989065766398
28,1.167209043631545,0.17668511711136803,0.23504463406386758,0.05644924504989217,2.0744836465212715,0.21607923478799468
29,1.197322528048303,0.16549583015668592,0.2822138908282459,0.0632420051783317,2.113821732824382,0.17231526282348267
30,1.2274360124650612,0.15377761698063444,0.3339012075151915,0.07055795323535033,2.1530708981921665,0.13856133162423265
31,1.2575494968818193,0.1417559540924427,0.3892275581175757,0.0783785958954314,2.191914685032378,0.10679220286032745
32,1.2876629812985774,0.12964485082053942,0.4469658497026036,0.08667250290038268,2.230583276415879,0.08266118377795778
33,1.3177764657153355,0.11764115658713761,0.5055619608559604,0.09539427054420692,2.269241074851564,0.08175173869922302
34,1.3478899501320936,0.10592008434618913,0.5631874023046101,0.10448385640251413,2.307305805224043,0.07309357575370252
35,1.3780034345488517,0.0946320358905091,0.6178234460333544,0.11386637066139212,2.345497236934228,0.0638455024868407
36,1.4081169189656098,0.0839007313346689,0.667372747456932,0.12345239563578093,2.3834200139979,0.08841895431021611
37,1.4382304033823679,0.07382257359956335,0.7097906308713371,0.13313888474712118,2.421332901784958,0.07219027557414832
38,1.468343887799126,0.06446712214562193,0.7432249179632797,0.14281066606804166,2.4588732861006646,0.051887528681317276
39,1.498457372215884,0.055878509626110115,0.7661510328629294,0.1523425448331709,2.4971808852855135,0.07476498833083647
40,1.5285708566326421,0.04807761026804357,0.7774885660364812,0.1616019658756969,2.5344631013017604,0.06479796185983942
41,1.5586843410494002,0.04106475840382342,0.7766867451362424,0.17045216299483884,2.5715724675503067,0.07593251917515802
42,1.5887978254661583,0.03482281785027825,0.7637692742882508,0.17875569023229723,2.6089524169083735,0.07668219687519608
43,1.6189113098829164,0.02932041559426911,0.739333395947519,0.18637820239547614,2.645901399248353,0.052354541019045284
44,1.6490247942996745,0.024515174139041945,0.7045031875169846,0.19319233116365297,2.6829843223083363,0.0451404293809748
45,1.6791382787164326,0.020356803466704196,0.6608422741395394,0.19908149057906016,2.7199281144950995,0.032033359428672546
46,1.7092517631331907,0.016789943487456122,0.6102355607104216,0.20394344288205782,2.7567329200246666,0.029397197680177727
47,1.7393652475499488,0.013756678823974609,0.5547526345467707,0.20769346299015634,2.7936672705908507,0.015767811297519335
48,1.769478731966707,0.011198677815882081,0.49650678199565523,0.2102669571469684,2.830301695765619,0.009045291593901153
